City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,whitehorse,60.7161,-135.0538,27.37,93,100,17.27,CA,1698608437
122,kani keli,-12.9536,45.1033,79.86,84,2,5.66,YT,1698608438
123,punta arenas,-53.15,-70.9167,48.31,49,40,16.11,CL,1698608438
124,sungai penuh,-2.0833,101.3833,62.49,84,33,3.44,ID,1698608438
125,port augusta,-32.5,137.7667,57.18,54,100,3.29,AU,1698608439
126,richards bay,-28.783,32.0377,62.2,56,100,15.5,ZA,1698608186
127,egilsstadir,65.2653,-14.3948,33.71,100,100,4.61,IS,1698608440
128,broken hill,-31.95,141.4333,56.03,47,49,9.62,AU,1698608440
129,karak city,31.1637,35.762,61.3,78,100,18.75,JO,1698608440
130,hermanus,-34.4187,19.2345,56.7,62,0,25.93,ZA,1698608441
131,talnakh,69.4865,88.3972,-5.49,94,69,3.33,RU,1698608441
132,eureka,40.8021,-124.1637,72.21,60,0,5.88,US,1698608441
133,happy valley-goose bay,53.3168,-60.3315,35.91,48,75,28.77,CA,1698608366
134,woods creek,47.8787,-121.8985,55.06,61,4,1.99,US,1698608442
135,northam,51.0333,-4.2167,52.61,87,99,22.77,GB,1698608443
136,vila velha,-20.3297,-40.2925,82.35,74,0,21.85,BR,1698608443
137,naantali,60.4674,22.0243,26.44,78,0,5.75,FI,1698608443
138,ancud,-41.8697,-73.8203,47.62,56,42,21.39,CL,1698608444
139,novaya igirma,57.1334,103.9112,16.25,84,47,3.96,RU,1698608444
140,nabire,-3.3667,135.4833,75.2,94,100,3.85,ID,1698608444
141,turuntayevo,52.2,107.6167,12.29,56,8,2.33,RU,1698608445
142,tarawa,1.419,172.984,82.49,89,75,0.0,KI,1698608445
143,ormara,25.2088,64.6357,80.28,75,2,5.44,PK,1698608445
144,kapuskasing,49.4169,-82.4331,33.89,64,75,6.91,CA,1698608446
145,aykhal,66.0,111.5,-13.52,99,50,5.55,RU,1698608446
146,as sulayyil,20.4607,45.5779,80.85,33,65,8.93,SA,1698608447
147,pustoshka,56.3355,29.369,31.33,85,100,8.75,RU,1698608447
148,bantval,12.9,75.0333,74.35,94,40,4.61,IN,1698608448
149,toamasina,-18.1667,49.3833,75.2,94,75,2.3,MG,1698608448
150,xilin hot,43.9667,116.0333,30.87,42,5,3.6,CN,1698608449
151,cafayate,-26.073,-65.9761,90.43,5,32,20.85,AR,1698608449
152,iskateley,67.6803,53.1512,16.02,86,100,13.0,RU,1698608450
153,kodiak,57.79,-152.4072,45.91,100,100,11.5,US,1698608450
154,tiksi,71.6872,128.8694,6.69,96,97,5.93,RU,1698608382
155,ban nong wua so,17.2675,103.2247,77.95,91,70,4.52,TH,1698608451
156,klyuchi,52.2667,79.1667,30.47,93,100,4.59,RU,1698608451
157,miracatu,-24.2814,-47.4597,76.71,97,100,3.15,BR,1698608451
